run,seed,preprocessing,model,rmse
3,44,hourly_mean_none,XGBoost,19.74539545844291
3,44,hourly_mean_none,CNN,19.38621990922158
3,44,hourly_mean_none,Transformer,21.231002952433634
3,44,linear_kalman,XGBoost,12.734436161879204
3,44,linear_kalman,CNN,12.47350844812566
3,44,linear_kalman,Transformer,12.149221534913584
3,44,linear_smoothing_spline,XGBoost,13.294730286495167
3,44,linear_smoothing_spline,CNN,13.270666737304175
3,44,linear_smoothing_spline,Transformer,12.75748521160281
3,44,linear_none,XGBoost,13.734555235686384
3,44,linear_none,CNN,13.684615034005617
3,44,linear_none,Transformer,13.47181123545931
3,44,polynomial_kalman,XGBoost,12.972635301309118
3,44,polynomial_kalman,CNN,12.704644327582644
3,44,polynomial_kalman,Transformer,12.237171845798118
3,44,polynomial_smoothing_spline,XGBoost,13.539978061217907
3,44,polynomial_smoothing_spline,CNN,13.200778132606386
3,44,polynomial_smoothing_spline,Transformer,12.964261676414273
3,44,polynomial_none,XGBoost,13.99692620177891
3,44,polynomial_none,CNN,13.734439892151126
3,44,polynomial_none,Transformer,13.665394978993973
3,44,spline_kalman,XGBoost,12.972635301309118
3,44,spline_kalman,CNN,12.704643770277443
3,44,spline_kalman,Transformer,12.237171845798118
3,44,spline_smoothing_spline,XGBoost,13.539978061217907
3,44,spline_smoothing_spline,CNN,13.125917706276404
3,44,spline_smoothing_spline,Transformer,12.964261676414273
3,44,spline_none,XGBoost,13.99692620177891
3,44,spline_none,CNN,14.219588009618754
3,44,spline_none,Transformer,13.665394978993973
4,45,zoh_kalman,XGBoost,13.451552194614973
4,45,zoh_smoothing_spline,XGBoost,14.802204915611629
4,45,zoh_none,XGBoost,15.169407030754595
4,45,hourly_mean_kalman,XGBoost,13.51509746790247
4,45,hourly_mean_smoothing_spline,XGBoost,19.43317123272505
4,45,hourly_mean_none,XGBoost,19.718964835140884
4,45,linear_kalman,XGBoost,12.712505038011143
4,45,linear_smoothing_spline,XGBoost,13.263213361165082
4,45,linear_none,XGBoost,13.706187376780337
4,45,polynomial_kalman,XGBoost,12.912639405358844
4,45,polynomial_smoothing_spline,XGBoost,13.522990108323894
4,45,polynomial_none,XGBoost,13.983019659073223
4,45,spline_kalman,XGBoost,12.912639405358842
4,45,spline_smoothing_spline,XGBoost,13.522990108323894
4,45,spline_none,XGBoost,13.983019659073223
5,46,zoh_kalman,XGBoost,13.399975943249904
5,46,zoh_smoothing_spline,XGBoost,14.77756658504099
5,46,zoh_none,XGBoost,15.153686686607122
5,46,hourly_mean_kalman,XGBoost,13.509180008912832
5,46,hourly_mean_smoothing_spline,XGBoost,19.447635799302446
5,46,hourly_mean_none,XGBoost,19.71043767593117
5,46,linear_kalman,XGBoost,12.667891036244935
5,46,linear_smoothing_spline,XGBoost,13.220022906521312
5,46,linear_none,XGBoost,13.666694338834546
5,46,polynomial_kalman,XGBoost,12.876653848934696
5,46,polynomial_smoothing_spline,XGBoost,13.470999260920326
5,46,polynomial_none,XGBoost,13.944784671279345
5,46,spline_kalman,XGBoost,12.876653848934698
5,46,spline_smoothing_spline,XGBoost,13.470999260920326
5,46,spline_none,XGBoost,13.944784671279345
