preprocessing,model,mean,std
hourly_mean_kalman,CNN,11.877561923763063,0.7052852224796519
hourly_mean_kalman,Transformer,13.689096688837495,0.12324923193540087
hourly_mean_kalman,XGBoost,13.50371154095124,0.048508580822908015
hourly_mean_none,CNN,19.394226854194688,0.05767054379994626
hourly_mean_none,Transformer,21.332088168237032,0.11849406165945399
hourly_mean_none,XGBoost,19.716944696862583,0.017597739634411663
hourly_mean_smoothing_spline,CNN,18.79682472147573,0.24842660489571655
hourly_mean_smoothing_spline,Transformer,20.866790631901292,0.17643032446531956
hourly_mean_smoothing_spline,XGBoost,19.44292644767308,0.013652054307165234
linear_kalman,CNN,12.875262968354443,0.9991863958895594
linear_kalman,Transformer,12.219413514876564,0.06211407960984463
linear_kalman,XGBoost,12.669617683967928,0.05660296205225805
linear_none,CNN,14.559107271351138,1.4799029475239156
linear_none,Transformer,13.559387145767564,0.0767419683847775
linear_none,XGBoost,13.67752034664837,0.04467714441396882
linear_smoothing_spline,CNN,13.958427500124614,2.001651636459104
linear_smoothing_spline,Transformer,12.87332747366814,0.1033476004140243
linear_smoothing_spline,XGBoost,13.225787352305328,0.057558746330317885
polynomial_kalman,CNN,13.692129114926454,2.0190709784503547
polynomial_kalman,Transformer,12.352100156669792,0.10820617162702338
polynomial_kalman,XGBoost,12.888267819378461,0.05962501009167742
polynomial_none,CNN,14.660875868707771,1.6992925430074912
polynomial_none,Transformer,13.765372138952236,0.08662009382485024
polynomial_none,XGBoost,13.948404642189479,0.044530627719905645
polynomial_smoothing_spline,CNN,14.110813413981601,2.092635448925982
polynomial_smoothing_spline,Transformer,13.096715948547356,0.11781315209464574
polynomial_smoothing_spline,XGBoost,13.481538118851855,0.05243789232926103
spline_kalman,CNN,13.721801585197872,1.9900819469449025
spline_kalman,Transformer,12.35210015666979,0.10820617162702391
spline_kalman,XGBoost,12.888267819378461,0.05962501009167719
spline_none,CNN,14.33129596976452,0.7518540811161037
spline_none,Transformer,13.765372138952236,0.08662009382485024
spline_none,XGBoost,13.948404642189479,0.04453062771990528
spline_smoothing_spline,CNN,14.063795654341789,2.132398926411501
spline_smoothing_spline,Transformer,13.096715948547356,0.11781315209464574
spline_smoothing_spline,XGBoost,13.481538118851855,0.052437892329261444
zoh_kalman,CNN,13.369257885794596,0.4940197437055411
zoh_kalman,Transformer,13.126988600330227,0.08614612124267407
zoh_kalman,XGBoost,13.42147234834226,0.04857289673434257
zoh_none,CNN,15.769271995279853,1.2386786986256453
zoh_none,Transformer,15.186904833590985,0.07801592528886592
zoh_none,XGBoost,15.159624874996151,0.026624840399662605
zoh_smoothing_spline,CNN,15.008208046017723,0.651193483218197
zoh_smoothing_spline,Transformer,14.716524727201573,0.13744274739554532
zoh_smoothing_spline,XGBoost,14.779373323065792,0.03898474262196984
